時代,料理,必要素材,必要技術,必要道具,素材ID,技術ID,道具ID,メッセージ
平安・鎌倉,うどん,小麦粉,製麺技術,包丁Lv1,komugiko,seimentech,houchou1,練った小麦粉を包丁で切ったうどんが普及。
平安・鎌倉,串団子,小麦粉,甘味技術,,komugiko,kanmitech,,米を丸めて串に刺した串団子が広まる。甘味の定番に。
室町・安土桃山,本膳料理,,膳料理様式,包丁Lv2,,zenryouri,houchou2,武家の儀礼に沿って吸い物・焼物・煮物・飯・香の物などを揃え、豪華さと格式を重んじた本膳料理が広まる。
室町・安土桃山,茶懐石,,茶の湯様式,鉄鍋改良,,chanoyu,tetsunabekairyou,一汁三菜を基本とし、質素さと季節感を大切にした茶懐石が普及。
室町・安土桃山,南蛮漬け,唐辛子,揚げる,鉄鍋改良,tougarashi,ageru,tetsunabekairyou,魚や鶏を油で揚げて酢・醤油・唐辛子で味付けした南蛮漬けが広まる。
室町・安土桃山,刺身,海魚Lv2（アジ・イワシ）,,包丁Lv2,kaigyo2,,houchou2,タイやアジなど鮮度の良い魚を薄切りにして生で食べる刺身が広まる。盛り付けの美しさも重視。
室町・安土桃山,南蛮菓子,砂糖,砂糖利用技術,製菓道具,satou,satouriyoutech,seikadougu,カステラや金平糖など、砂糖を使った南蛮渡来の菓子が作られる。
室町・安土桃山,日本酒,,清酒技術,,,seisyutech,,透き通った日本酒が誕生。武家や僧房の宴席で饗される。
江戸,寿司,江戸前魚,酢〆,包丁Lv3,edomaegyo,suzime,houchou3,マグロ・イワシ・タコ・エビなどの握り寿司が登場。庶民の手軽な料理として広まる。
江戸,天ぷら,油,天ぷら揚げ,揚げ鍋,abura,tempuraage,agenabe,アジやキス、ナスやカボチャなど屋台で揚げて供する天ぷらが広まる。庶民の手軽な食事として定着。
江戸,屋台そば,そば,出汁とりLv2,屋台調理器具,soba,dashi2,yataichouridougu,屋台そば屋が町中に登場。安価で手軽に食べられる庶民の食事として広まる。
江戸,鍋料理,野菜Lv3（ニンジン・白菜）,出汁とりLv2,土鍋,yasai3,dashi2,donabe,鍋料理が家庭で広まる。湯豆腐や野菜・魚の寄せ鍋など、多人数分を調理できる庶民料理。
江戸,うなぎ蒲焼き,江戸前魚,炭火焼き,,edomaegyo,sumibiyaki,,うなぎを串に刺して炭火で香ばしく焼き、タレを絡めたかば焼きが人気を集める。夏の定番料理。
江戸,和菓子,あんこ,和菓子製菓技術,製菓道具,anko,wagashiseikatech,seikadougu,まんじゅうや羊羹など和菓子が広まる。日常の楽しみのほか贈答品など甘味文化として定着。
明治・大正,牛鍋,牛肉,割下煮込み技術,鉄鍋改良,gyuuniku,warishitanikomitech,tetsunabekairyou,すき焼きの原型。牛肉と野菜を鉄鍋で煮込む。都市の牛鍋屋で楽しまれた贅沢な鍋料理。
明治・大正,カレーライス,スパイス,洋風応用調理,厚底鍋,supaisu,youfuouyouchouri,atsuzokonabe,スパイスで味付けし、じゃがいもや牛肉などを煮込んだ料理。洋食屋で提供され、外食文化として広く普及。
明治・大正,コロッケ,野菜Lv4（じゃがいも・たまねぎ）,,揚げ鍋,yasai4,,agenabe,じゃがいもを練って成形し、パン粉をつけて揚げる料理。
明治・大正,とんかつ,豚肉,フライ技術,揚げ鍋,butaniku,furaitech,agenabe,豚肉に衣をつけて揚げる料理。パン粉を使った洋風揚げ物として、洋食屋で親しまれる。
明治・大正,オムライス,卵,フライ技術,フライパン,tamago,furaitech,furaipan,卵でご飯を包んだ料理。ケチャップライスを合わせた洋食屋の人気料理として洋食店で広まる。
明治・大正,ハヤシライス,デミグラスソース,洋風応用調理,厚底鍋,demigurasusauce,youfuouyouchouri,atsuzokonabe,デミグラスソースで牛肉と玉ねぎを煮込んだ、明治洋食屋で人気の一品。
明治・大正,洋菓子,卵,,オーブン,tamago,,oven,ケーキ・プリン・シュークリームなど、西洋菓子が明治洋菓子店で楽しめるようになった。
昭和・平成,ラーメン,中華麺,中華応用調理,中華鍋,chuukamen,chuukaouyouchouri,chuukanabe,しょうゆ・とんこつ・みそなど多彩なスープと中華麺を合わせた料理。広く定着し数多くの専門店が各地に開業。
昭和・平成,ハンバーガー,牛肉,ファストフード技術,鉄板,gyuuniku,fastfoodtech,teppan,パンに肉や野菜をはさみ、手早く提供する料理。ファーストフードチェーン店で広まり、外食文化を象徴する人気メニュー。
昭和・平成,お好み焼き,ソース・マヨネーズ,粉物調理技術,鉄板,saucemayo,konamonochouritech,teppan,小麦粉の生地に具材を混ぜて焼き、ソースをかけて楽しむ料理。屋台や家庭で広まる。
昭和・平成,スパゲッティ,パスタ,洋食応用調理,厚底鍋,pasta,,atsuzokonabe,パスタを茹でて具材やソースと合わせて仕上げる洋食料理。喫茶店や家庭の定番洋食として広まる。
昭和・平成,中華料理,豚肉,中華応用調理,中華鍋,butaniku,chuukaouyouchouri,chuukanabe,チャーハンや餃子、麻婆豆腐など町中華の定番料理。肉や野菜を炒めたり煮込んだ料理として広まる。
昭和・平成,唐揚げ,鶏肉,下味揚げ,揚げ鍋,toriniku,shitamiage,agenabe,鶏肉に味をつけて揚げた唐揚げが広まる。家庭や外食で親しまれる。
昭和・平成,ピザ,チーズ,洋食応用調理,オーブン,cheese,,oven,小麦粉の生地にチーズや具材をのせてオーブンで焼く料理。家庭や外食で親しまれる。
昭和・平成,丼物,,甘辛煮込み技術,アルミ鍋,,amakaranikomitech,aruminabe,牛丼・親子丼・カツ丼など丼物が普及。肉や具材を甘辛く煮込みご飯にのせて仕上げる料理。
