時代,分類,id,name,メッセージ
平安・鎌倉,技術,tsukemonotech,漬物技術,塩漬けや味噌漬けなど漬物技術が発展。食材の保存が容易に。
平安・鎌倉,技術,seimentech,製麺技術,小麦粉を練って長く切る製麺技術が発展。麵料理が登場。
平安・鎌倉,技術,kanmitech,甘味技術,小豆を煮た餡や黒糖など甘味技術が発展。
平安・鎌倉,道具,tetsunabe,鉄鍋,鉄鍋が伝わる。煮炊きがより効率化。
平安・鎌倉,道具,houchou1,包丁Lv1,包丁が広く使われる。下ごしらえとして簡易的に切るのみ。
室町・安土桃山,素材,kaigyo2,海魚Lv2（アジ・イワシ）,漁業の発展に伴いアジ・イワシなど海魚の利用が広まる。食文化がより豊かに。
室町・安土桃山,素材,satou,砂糖,南蛮貿易により砂糖が伝来。菓子文化に革命をもたらす。
室町・安土桃山,素材,tougarashi,唐辛子,唐辛子が伝わる。料理に鮮烈な辛味が加わり一層華やかになる。
室町・安土桃山,素材,karashiwasabi,からし・わさび,薬として扱われていたからし・わさびが食材として使われるように。料理に刺激を添える
室町・安土桃山,技術,zenryouri,膳料理様式,武家の儀礼や礼法の普及につれ、膳料理様式が整えられる。
室町・安土桃山,技術,chanoyu,茶の湯様式,わび・さびや一期一会などの茶の湯文化が広まる。
室町・安土桃山,技術,ageru,揚げる,揚げる技術が伝わる。新たな調理法として普及。
室町・安土桃山,技術,satouriyoutech,砂糖利用技術,撹拌や結晶化など砂糖利用の技術が伝来。
室町・安土桃山,道具,tetsunabekairyou,鉄鍋改良,小型・中型など用途別の鉄鍋が作られる。
室町・安土桃山,道具,houchou2,包丁Lv2,包丁が魚用・野菜用・肉用に分化。精密な切り方ができるようになる。
室町・安土桃山,道具,seikadougu,製菓道具,熱の伝わりが早い銅鍋や形を整える型など、製菓道具が普及。
江戸,素材,edomaegyo,江戸前魚,マグロやうなぎなど、江戸前でとれた魚が普及する。
江戸,素材,toriniku,鶏肉,鶏の肉。滋養食として食用が広がり、鍋や汁物などに用いられる。
江戸,素材,abura,油,なたね油やごま油など、天ぷらに使用する油の流通が盛んになる。
江戸,素材,soba,そば,麺状にしたそばが普及。そば粉のみの十割そばや小麦粉を混ぜた二八そばなど作られる。
江戸,素材,yasai3,野菜Lv3（ニンジン・白菜）,ニンジン、白菜、サツマイモなどの栽培が広まる。
江戸,素材,nori,のり,板状に加工された海苔が普及。庶民が日常的に使う食材として定着。
江戸,素材,anko,あんこ,砂糖と小豆を練った甘い餡が広まる。和菓子の基本材料として使われる。
江戸,技術,suzime,酢〆,魚を酢でしめる技術が発展。生魚の保存性が向上。
江戸,技術,tempuraage,天ぷら揚げ,食材に小麦粉の衣をつけて油で揚げる調理法が普及。
江戸,技術,dashi2,出汁とりLv2,鰹節を用いた出汁が広まる。吸い物や煮物、味噌汁など和食の味の基盤となる。
江戸,技術,sumibiyaki,炭火焼き,炭火を用いた焼き技術が発展し、食材を香ばしく焼き上げる調理法が広まる。
江戸,技術,wagashiseikatech,和菓子製菓技術,製菓技術が発展し、餡や生地の練り・成形・蒸し・焼きなどの技術が確立。現代和菓子の根幹。
江戸,道具,houchou3,包丁Lv3,魚・野菜・肉の専用包丁が広まる。現代の刺身包丁・出刃包丁の原型となる。
江戸,道具,agenabe,揚げ鍋,天ぷらを揚げる用の深底鍋が普及。
江戸,道具,yataichouridougu,屋台調理器具,小鍋やざるなど、そばを素早く提供するための器具が普及。
江戸,道具,donabe,土鍋,家庭用の小型鍋など鍋料理用の土鍋が広く普及する。
明治・大正,素材,gyuuniku,牛肉,近代化と西洋文化の影響で牛肉が普及。肉料理が新しい食文化として受け入れられる。
明治・大正,素材,yasai4,野菜Lv4（じゃがいも・たまねぎ）,じゃがいも、たまねぎ、キャベツなどが栽培され広く普及する。
明治・大正,素材,butaniku,豚肉,豚の飼育と流通が発展。豚肉が身近な食用肉として使われるようになる。
明治・大正,素材,kosho,コショウ,西洋料理の普及とともに胡椒が一般化。料理に香りと辛味を加える調味料として定着。
明治・大正,素材,supaisu,スパイス,カレー用に伝わった複合香辛料。洋食屋で提供される料理を彩り、独特の風味を加える。
明治・大正,素材,demigurasusauce,デミグラスソース,デミグラスソースが伝わる。肉料理に濃厚な旨味を加える。
明治・大正,素材,tamago,卵,洋食や洋菓子の広まりとともに、卵が料理に欠かせない食材として定着。
明治・大正,技術,warishitanikomitech,割下煮込み技術,醤油・砂糖・みりんを合わせた割下を使い、牛肉や野菜の旨味を引き出す技法が広まる。
明治・大正,技術,youfuouyouchouri,洋風応用調理,肉や野菜を煮たり焼いたりしてソースや具材と合わせる技術。洋食の多様な料理に応用される。
明治・大正,技術,furaitech,フライ技術,パン粉をつけて揚げる技術が普及。洋食屋でさまざまなフライ料理が作られる。
明治・大正,技術,yougashiseikatech,洋菓子製菓技術,西洋の製菓技術が伝わる。小麦粉や卵、バターで生地を作り、オーブンで焼き、クリームを加えた洋菓子作りが広まった。
明治・大正,道具,atsuzokonabe,厚底鍋,厚底の鍋が普及。洋風煮込み料理を焦がさず安定して作れる。
明治・大正,道具,furaipan,フライパン,フライパンが普及。炒め物や薄焼き卵など、洋食調理の道具として用いられる。
明治・大正,道具,oven,オーブン,オーブンが普及。洋菓子や焼き料理に用いられる。
昭和・平成,素材,chuukamen,中華麺,小麦粉を主原料とした麺。ラーメンとして広まり、町中華や専門店で使われる。
昭和・平成,素材,sauce,ソース,ウスターソースなど野菜や果実、香辛料を煮詰めて作る調味料。お好み焼きや揚げ物など庶民料理で広く使用。
昭和・平成,素材,pasta,パスタ,小麦粉を主原料とした乾麺。洋食文化の広がりとともに家庭や外食で使われる。
昭和・平成,素材,cheese,チーズ,チーズが普及。洋食やピザなどに使われる食材として定着する。
昭和・平成,技術,chuukaouyouchouri,中華応用調理,中華の調理技術を応用し、炒め・煮込み・蒸しなどで多様な料理を作る調理法が広まる。
昭和・平成,技術,fastfoodtech,ファストフード技術,肉や野菜を手早く焼き、パンやバンズなどで仕上げる技術。短時間で料理提供するファストフード店の普及とともに広まる。
昭和・平成,技術,konamonochouritech,粉物調理技術,小麦粉の生地を練り、焼く・蒸す・揚げる調理法。お好み焼き、たこ焼き、もんじゃ焼きなど粉物料理の基盤。
昭和・平成,技術,shitamiage,下味揚げ,調味料で下味をつけて揚げる技術が普及。唐揚げや竜田揚げなど。
昭和・平成,技術,amakaranikomitech,甘辛煮込み技術,醤油や砂糖を使って肉や具材を甘辛く煮込む技術が広まる。丼物の基本。
昭和・平成,道具,chuukanabe,中華鍋,肉や野菜を強火で炒めたり煮込んだりするための深めの鍋。
昭和・平成,道具,teppan,鉄板,均一に加熱できる調理用の板。お好み焼きやハンバーガーなど焼き物料理に使われる。
昭和・平成,道具,aruminabe,アルミ鍋,軽くて熱伝導の良いアルミ鍋が普及し、肉や野菜を手早く煮込む調理が容易に。
